classname , cbo , dit , fanIn , fanOut , lcom , noc , numberOfAttributes , numberOfAttributesInherited , numberOfLinesOfCode , numberOfMethods , numberOfMethodsInherited , numberOfPrivateAttributes , numberOfPrivateMethods , numberOfPublicAttributes , numberOfPublicMethods , rfc , wmc , bugs ,,,,, 
org::eclipse::pde::internal::core::text::toc::TocAnchor ,5,5,3,2,21,0,1,28,23,7,248,1,0,0,7,10,7,0,,,,, 
org::eclipse::pde::internal::ui::editor::SystemFileEditorInputFactory ,1,1,0,1,1,0,0,0,8,2,6,0,0,0,2,5,2,0,,,,, 
org::eclipse::pde::internal::ui::editor::cheatsheet::simple::actions::SimpleCSRemoveRunObjectAction ,4,1,1,3,3,0,1,0,28,3,0,1,0,0,3,12,9,0,,,,, 
org::eclipse::pde::internal::ui::editor::outline::QuickOutlineNamePatternFilter ,1,1,1,0,6,0,1,0,36,4,0,1,1,0,3,9,10,0,,,,, 
org::eclipse::pde::internal::ui::tests::macro::FocusCommand ,4,2,1,3,15,0,1,0,32,6,18,0,0,0,6,17,8,0,,,,, 
org::eclipse::pde::internal::ui::build::ProductExportJob ,3,2,1,2,1,0,2,1,8,2,5,2,0,0,1,4,2,0,,,,, 
org::eclipse::pde::internal::ui::PDEUIMessages ,0,1,0,0,0,0,2169,0,0,0,0,1,0,2168,0,0,0,28,,,,, 
org::eclipse::pde::internal::ui::wizards::tools::ConvertedProjectWizard ,3,2,1,2,3,0,3,0,15,3,8,3,0,0,3,8,3,0,,,,, 
org::eclipse::pde::internal::ui::correction::OrganizeExportPackageResolution ,2,3,0,2,6,0,0,5,12,4,14,0,0,0,3,7,4,0,,,,, 
org::eclipse::pde::internal::ui::views::plugins::JavaSearchOperation ,3,1,1,2,1,0,2,0,15,2,6,2,0,0,2,7,3,0,,,,, 
org::eclipse::pde::internal::ui::editor::PDEFormTextEditorContributor ,7,2,1,7,120,7,6,3,158,16,20,6,3,0,9,60,36,1,,,,, 
org::eclipse::pde::internal::core::builders::SchemaErrorReporter ,11,2,1,10,55,0,9,5,172,11,50,7,9,0,2,106,60,0,,,,, 
org::eclipse::pde::internal::core::cheatsheet::comp::CompCSDependency ,5,4,1,4,78,0,2,62,51,13,55,2,0,0,8,24,16,0,,,,, 
org::eclipse::pde::internal::ui::editor::target::ArgumentsSection ,13,3,1,12,78,0,5,0,130,13,21,5,5,0,7,61,20,0,,,,, 
org::eclipse::pde::internal::core::product::ArgumentsInfo ,6,3,1,5,55,0,11,15,210,11,36,11,2,0,9,128,76,0,,,,, 
org::eclipse::pde::internal::core::search::ExtensionPluginSearchScope ,5,2,1,4,1,0,1,6,18,2,11,0,0,1,2,9,5,0,,,,, 
org::eclipse::ui::internal::views::log::Messages ,0,1,0,0,0,0,81,0,0,0,0,1,0,80,0,0,0,0,,,,, 
org::eclipse::pde::internal::ui::wizards::plugin::PluginContentPage ,10,2,1,9,66,0,19,11,245,12,13,18,5,0,4,83,36,3,,,,, 
org::eclipse::pde::internal::ui::wizards::ctxhelp::NewCtxHelpOperation ,8,1,1,7,6,0,1,0,42,4,0,1,1,0,1,21,8,0,,,,, 
org::eclipse::pde::internal::core::build::Build ,12,2,4,8,28,0,1,0,36,8,20,0,0,0,8,36,10,0,,,,, 
org::eclipse::pde::internal::ui::editor::cheatsheet::simple::details::SimpleCSItemDetails ,12,4,1,11,120,0,9,0,252,16,32,9,5,0,11,88,29,0,,,,, 
org::eclipse::pde::internal::runtime::spy::dialogs::SpyDialog ,12,1,3,10,21,0,4,0,82,7,0,4,0,0,2,28,11,0,,,,, 
org::eclipse::pde::internal::ui::build::BuildFeatureAction ,11,2,0,11,1,0,1,1,34,2,14,1,0,0,0,28,7,0,,,,, 
org::eclipse::pde::ui::launcher::EquinoxLaunchConfiguration ,17,2,0,17,21,0,2,1,123,7,19,1,3,0,1,102,30,1,,,,, 
org::eclipse::pde::internal::core::exports::FeatureExportInfo ,6,1,6,0,0,0,11,0,0,1,6,0,0,11,1,1,0,1,,,,, 
org::eclipse::pde::internal::ui::launcher::ProgramBlock ,6,1,3,3,78,1,6,0,118,13,6,5,0,0,5,58,29,1,,,,, 
org::eclipse::pde::internal::ui::PDEPlugin ,362,1,355,11,253,0,10,32,134,23,0,10,2,0,21,72,39,1,,,,, 
org::eclipse::pde::internal::core::text::bundle::ExportPackageObject ,22,4,10,12,136,0,4,4,237,17,51,4,2,0,13,117,50,0,,,,, 
org::eclipse::pde::internal::ui::wizards::product::NewProductFileAction ,3,1,0,3,1,0,0,0,13,2,0,0,0,0,2,8,2,0,,,,, 
org::eclipse::pde::internal::ui::search::dependencies::AddNewDependenciesAction ,2,1,1,1,3,0,2,0,32,3,0,2,0,0,2,6,3,0,,,,, 
org::eclipse::pde::internal::ui::tests::macro::NewMacroWizard ,2,1,1,1,3,0,2,0,20,3,0,2,0,0,3,8,4,0,,,,, 
org::eclipse::pde::internal::ui::editor::feature::PluginSection ,30,5,1,29,378,0,5,2,317,28,73,5,9,0,11,177,61,0,,,,, 
org::eclipse::pde::internal::core::text::bundle::SingleManifestHeader ,16,4,12,4,36,8,2,4,44,9,55,2,0,0,8,26,13,0,,,,, 
org::eclipse::pde::internal::ui::refactoring::ManifestPackageMoveParticipant ,4,2,0,4,10,0,0,2,47,5,7,0,1,0,1,25,15,0,,,,, 
org::eclipse::pde::internal::core::plugin::Fragment ,10,5,3,7,78,0,5,28,144,13,185,5,0,0,11,84,38,0,,,,, 
org::eclipse::pde::internal::ui::editor::site::SiteEditor ,27,3,1,26,210,0,1,1,153,21,72,1,3,0,5,92,32,1,,,,, 
org::eclipse::pde::internal::core::target::TargetObject ,13,2,9,4,28,9,2,0,30,8,11,2,0,0,5,18,10,0,,,,, 
org::eclipse::pde::ui::launcher::MainTab ,4,2,1,3,78,1,4,43,96,13,6,1,0,0,10,40,19,0,,,,, 
org::eclipse::pde::internal::ui::editor::context::XMLDocumentSetupParticpant ,7,1,6,1,3,0,1,0,15,3,6,0,1,0,2,9,4,0,,,,, 
org::eclipse::pde::internal::ui::editor::build::JARFileFilter ,2,1,1,1,6,1,2,0,31,4,0,2,0,0,4,15,12,0,,,,, 
org::eclipse::pde::internal::ui::templates::osgi::OSGiPreferencesServiceTemplate ,3,5,1,2,28,0,1,13,29,8,80,0,0,0,7,14,8,0,,,,, 
org::eclipse::pde::internal::core::text::toc::TocLink ,8,5,4,4,21,0,1,28,30,7,248,1,0,0,7,21,8,0,,,,, 
org::eclipse::pde::internal::ui::wizards::extension::ExtensionEditorSelectionPage ,2,3,1,1,3,0,3,2,23,3,19,3,0,0,2,5,3,0,,,,, 
org::eclipse::pde::internal::core::text::bundle::BundleClasspathHeader ,3,5,3,0,3,0,1,6,9,3,71,1,0,0,3,5,3,0,,,,, 
org::eclipse::pde::internal::ui::wizards::RenameDialog ,5,1,2,3,78,0,7,0,104,13,0,7,1,0,8,46,24,0,,,,, 
org::eclipse::pde::internal::ui::editor::site::SiteInputContext ,13,4,1,12,55,0,2,3,110,11,51,1,2,0,3,50,18,1,,,,, 
org::eclipse::pde::internal::ui::wizards::target::TargetDefinitionFromTargetOperation ,6,2,1,5,1,0,1,0,17,2,4,1,0,0,1,10,3,1,,,,, 
org::eclipse::pde::internal::ui::refactoring::ResourceMoveParticipant ,7,2,0,7,6,2,0,2,39,4,7,0,0,0,0,32,13,0,,,,, 
org::eclipse::pde::internal::runtime::MessageHelper ,1,1,1,0,1,0,0,0,18,2,6,0,1,0,1,14,7,0,,,,, 
org::eclipse::pde::internal::ui::editor::plugin::ExtensionContentProvider ,6,2,1,5,10,0,0,0,27,5,9,0,0,0,4,14,10,0,,,,, 
org::eclipse::pde::internal::ui::editor::target::JRESection ,14,3,1,13,66,0,10,0,179,12,21,10,5,0,4,77,22,0,,,,, 
org::eclipse::pde::internal::ui::editor::plugin::RuntimePage ,10,2,1,10,6,0,1,0,34,4,28,0,1,0,1,33,7,0,,,,, 
org::eclipse::pde::internal::ui::editor::actions::HyperlinkAction ,4,1,3,2,105,0,3,0,94,15,0,0,1,0,11,43,36,0,,,,, 
org::eclipse::pde::internal::ui::wizards::tools::ExtensionPointMappings ,2,1,0,2,10,0,1,0,33,5,6,1,1,0,4,16,10,0,,,,, 
org::eclipse::pde::internal::ui::wizards::feature::CreateFeatureProjectFromLaunchOperation ,6,3,1,5,3,0,1,4,26,3,9,1,1,0,1,11,7,0,,,,, 
org::eclipse::pde::internal::core::text::plugin::PluginAttribute ,9,4,6,4,190,0,3,16,69,20,200,3,0,0,20,42,20,0,,,,, 
org::eclipse::pde::internal::ui::editor::text::ManifestConfiguration ,11,2,1,10,78,0,8,2,93,13,11,8,0,0,12,38,30,0,,,,, 
org::eclipse::pde::internal::ui::editor::text::ExternalizedStringRule ,3,1,1,2,1,0,0,0,17,2,0,0,0,0,1,5,4,0,,,,, 
org::eclipse::pde::internal::core::site::SiteObject ,18,2,9,9,253,6,5,1,131,23,14,1,0,3,12,60,40,0,,,,, 
org::eclipse::pde::internal::core::variables::TargetOSVariableResolver ,1,1,0,1,0,0,0,0,3,1,6,0,0,0,1,2,1,0,,,,, 
org::eclipse::pde::internal::ui::editor::product::PluginSection ,29,5,2,27,528,0,3,2,432,33,73,2,16,0,9,239,92,0,,,,, 
org::eclipse::pde::internal::ui::templates::ide::BuilderTemplate ,15,5,1,14,91,0,8,13,166,14,80,8,1,0,10,70,23,0,,,,, 
org::eclipse::pde::internal::core::natures::PluginProject ,1,2,0,1,3,0,0,0,11,3,6,0,0,0,3,5,3,0,,,,, 
org::eclipse::pde::internal::ui::wizards::plugin::NewLibraryPluginCreationOperation ,26,2,1,25,153,0,1,0,416,18,11,1,9,0,1,205,86,1,,,,, 
org::eclipse::pde::internal::ui::correction::ChooseClassXMLResolution ,5,3,1,4,6,0,0,6,19,4,17,0,0,0,3,10,6,0,,,,, 
org::eclipse::pde::internal::ui::editor::contentassist::XMLElementProposalComputer ,8,1,0,8,28,0,0,0,129,8,6,0,8,0,0,55,27,0,,,,, 
