classname , cbo , dit , fanIn , fanOut , lcom , noc , numberOfAttributes , numberOfAttributesInherited , numberOfLinesOfCode , numberOfMethods , numberOfMethodsInherited , numberOfPrivateAttributes , numberOfPrivateMethods , numberOfPublicAttributes , numberOfPublicMethods , rfc , wmc , bugs ,,,,, 
ext::framework::a::importer::Activator ,6,1,0,6,3,0,0,0,15,3,9,0,1,0,2,14,3,0,,,,, 
org::eclipse::osgi::framework::internal::reliablefile::ReliableFile ,14,1,3,11,300,0,25,0,492,25,7,17,7,0,7,172,115,0,,,,, 
org::osgi::framework::ServiceEvent ,4,1,4,0,3,0,6,0,11,3,15,2,0,0,3,3,3,1,,,,, 
org::eclipse::osgi::framework::internal::core::BundleProtectionDomainImpl ,1,2,1,0,0,0,1,0,4,1,12,0,0,1,1,1,1,0,,,,, 
substitutes::z::Fz ,0,1,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,,,,, 
circularity::test::Activator ,2,1,0,2,1,0,0,0,6,2,9,0,0,0,2,8,2,0,,,,, 
org::eclipse::osgi::framework::internal::core::ConditionalPermissionSet ,12,2,3,9,45,0,6,0,153,10,20,6,1,0,4,34,39,0,,,,, 
org::eclipse::osgi::internal::module::BundleConstraint ,3,2,2,1,1,0,0,2,8,2,27,0,0,0,0,3,3,0,,,,, 
org::eclipse::osgi::internal::resolver::SystemState ,2,2,1,1,10,0,0,2,13,5,97,0,0,0,5,9,4,1,,,,, 
org::eclipse::osgi::internal::module::VersionSupplier ,10,1,8,2,36,3,2,0,21,9,7,1,0,0,5,12,7,0,,,,, 
org::osgi::framework::ServicePermission ,7,1,1,7,45,0,9,0,77,10,33,6,3,0,5,29,22,1,,,,, 
org::eclipse::osgi::framework::internal::core::FrameworkProperties ,22,1,18,4,6,0,2,0,24,4,7,2,0,0,4,17,8,0,,,,, 
nativetest::d::Activator ,4,1,0,4,1,0,0,0,8,2,9,0,0,0,2,8,2,0,,,,, 
substitutes::y::Ay ,0,1,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,,,,, 
