classname , cbo , dit , fanIn , fanOut , lcom , noc , numberOfAttributes , numberOfAttributesInherited , numberOfLinesOfCode , numberOfMethods , numberOfMethodsInherited , numberOfPrivateAttributes , numberOfPrivateMethods , numberOfPublicAttributes , numberOfPublicMethods , rfc , wmc , bugs ,,,,, 
org::apache::lucene::search::spans::SpanOrQuery ,17,3,10,7,55,0,2,0,170,11,44,2,0,0,11,59,29,1,,,,, 
org::apache::lucene::index::DocumentsWriter ,34,1,9,27,2415,0,60,0,829,70,9,25,11,19,0,263,177,2,,,,, 
org::apache::lucene::document::Document ,179,1,174,5,120,0,6,0,138,16,18,5,0,1,16,99,46,0,,,,, 
org::apache::lucene::search::highlight::SimpleSpanFragmenter ,5,1,1,4,3,0,7,0,40,3,11,7,0,0,3,12,10,0,,,,, 
org::apache::lucene::ant::FileExtensionDocumentHandler ,5,1,0,5,0,0,0,0,19,1,10,0,0,0,1,7,3,0,,,,, 
org::apache::lucene::analysis::Token ,128,1,122,6,465,0,11,0,240,31,18,3,4,7,27,72,66,0,,,,, 
org::apache::lucene::search::FieldDoc ,0,2,0,0,0,0,1,2,4,1,19,0,0,1,1,1,1,0,,,,, 
org::tartarus::snowball::ext::DanishStemmer ,1,2,0,1,21,0,8,6,345,7,35,8,6,0,1,32,51,0,,,,, 
org::apache::lucene::search::SortField ,6,1,4,2,21,0,18,0,44,7,18,4,0,1,7,20,13,1,,,,, 
org::apache::lucene::document::AbstractField ,16,2,13,3,231,3,16,0,182,22,41,0,0,0,20,57,60,0,,,,, 
org::apache::lucene::benchmark::byTask::utils::Config ,23,1,14,9,66,0,6,0,182,12,9,6,4,0,8,120,37,0,,,,, 
org::apache::lucene::benchmark::quality::utils::DocNameExtractor ,5,1,2,3,1,0,2,0,13,2,9,2,0,0,2,5,3,0,,,,, 
org::apache::lucene::analysis::cjk::CJKAnalyzer ,2,2,0,2,1,0,2,0,6,2,15,1,0,0,2,5,2,0,,,,, 
org::apache::lucene::search::HitIterator ,4,1,2,3,10,0,2,0,20,5,9,2,0,0,4,11,6,0,,,,, 
org::apache::lucene::misc::HighFreqTerms ,8,1,0,8,1,0,1,0,40,2,9,0,1,0,1,26,9,0,,,,, 
org::apache::lucene::index::FormatPostingsDocsConsumer ,2,1,2,0,1,1,0,0,0,2,9,0,0,0,0,2,0,0,,,,, 
org::apache::lucene::search::IndexSearcher ,65,3,57,8,36,2,2,0,61,9,37,1,1,1,8,30,18,0,,,,, 
org::apache::lucene::store::db::DbIndexOutput ,4,2,1,3,28,0,8,0,86,8,24,0,0,0,7,34,16,0,,,,, 
org::apache::lucene::search::highlight::TokenGroup ,6,1,5,1,45,0,9,0,54,10,9,1,0,8,7,24,13,0,,,,, 
org::apache::lucene::index::MergeDocIDRemapper ,4,1,2,2,1,0,6,0,76,2,9,0,0,6,2,8,15,1,,,,, 
org::apache::lucene::benchmark::byTask::tasks::RepSelectByPrefTask ,8,4,0,8,3,0,0,13,39,3,51,0,0,0,2,33,10,0,,,,, 
org::apache::lucene::analysis::PorterStemFilter ,3,3,0,3,1,0,1,1,14,2,16,1,0,0,2,10,4,0,,,,, 
org::apache::lucene::search::PhraseScorer ,8,3,1,7,78,2,9,0,107,13,17,4,3,0,6,44,33,0,,,,, 
org::apache::lucene::analysis::WordlistLoader ,6,1,2,4,1,0,0,0,44,2,9,0,0,0,2,18,10,0,,,,, 
org::apache::lucene::analysis::CharTokenizer ,3,3,1,2,10,3,6,1,55,5,16,6,0,0,3,15,13,1,,,,, 
org::apache::lucene::benchmark::byTask::tasks::ResetSystemEraseTask ,2,4,0,2,1,0,0,2,7,2,44,0,0,0,2,4,2,0,,,,, 
org::apache::lucene::queryParser::surround::query::ComposedQuery ,9,2,5,4,105,4,3,1,73,15,30,3,0,0,9,64,24,0,,,,, 
org::apache::lucene::xmlparser::builders::SpanBuilderBase ,1,2,0,1,0,6,0,0,3,1,11,0,0,0,1,2,1,0,,,,, 
org::apache::lucene::store::Directory ,74,1,69,5,153,7,2,0,64,18,9,0,0,1,17,35,18,1,,,,, 
org::apache::lucene::xmlparser::builders::DuplicateFilterBuilder ,4,1,1,3,1,0,0,0,34,2,10,0,0,0,2,15,5,0,,,,, 
org::apache::lucene::xmlparser::builders::BooleanQueryBuilder ,11,1,2,9,3,0,1,0,56,3,10,1,0,0,2,25,10,0,,,,, 
org::apache::lucene::index::DocInverterPerField ,14,2,1,13,3,0,6,0,130,3,11,2,0,4,2,35,18,3,,,,, 
org::apache::lucene::analysis::el::GreekLowerCaseFilter ,4,3,1,3,1,0,1,1,19,2,16,0,0,1,2,6,4,0,,,,, 
org::apache::lucene::index::ReadOnlySegmentReader ,3,4,1,2,3,0,0,15,9,3,80,0,0,0,1,6,4,0,,,,, 
org::apache::lucene::search::spans::SpanNotQuery ,11,3,4,7,66,0,2,0,144,12,44,2,0,0,12,34,21,0,,,,, 
org::apache::lucene::benchmark::byTask::tasks::RepSumByNameTask ,7,3,1,6,3,0,0,12,39,3,46,0,0,0,2,27,6,0,,,,, 
org::apache::lucene::index::InvertedDocEndConsumer ,2,1,2,0,10,1,0,0,0,5,9,0,0,0,0,5,0,0,,,,, 
org::apache::lucene::search::highlight::SpanGradientFormatter ,4,2,0,4,1,0,2,14,35,2,15,2,0,0,2,12,6,0,,,,, 
org::apache::lucene::xmlparser::CoreParser ,23,1,3,20,15,1,5,0,87,6,10,0,1,1,4,41,7,0,,,,, 
org::apache::lucene::analysis::compound::hyphenation::HyphenationException ,1,1,1,0,0,0,0,0,3,1,27,0,0,0,1,1,1,0,,,,, 
org::apache::lucene::xmlparser::builders::FilteredQueryBuilder ,6,1,1,5,1,0,2,0,18,2,10,2,0,0,2,9,2,0,,,,, 
org::apache::lucene::benchmark::stats::MemUsage ,2,1,1,1,3,0,6,0,13,3,9,0,0,6,3,8,2,0,,,,, 
org::apache::lucene::index::ParallelReader ,10,2,3,7,325,0,9,2,267,26,58,8,0,1,20,156,67,0,,,,, 
org::apache::lucene::store::ChecksumIndexInput ,3,2,0,3,28,0,2,0,28,8,33,0,0,2,8,18,8,0,,,,, 
org::apache::lucene::analysis::compound::DictionaryCompoundWordTokenFilter ,2,4,0,2,1,0,0,10,36,2,24,0,0,0,1,14,12,0,,,,, 
org::apache::lucene::store::SingleInstanceLockFactory ,3,2,2,1,3,0,1,1,13,3,13,1,0,0,3,6,3,0,,,,, 
org::apache::lucene::analysis::ar::ArabicNormalizationFilter ,5,3,2,3,1,0,1,1,15,2,16,0,0,0,1,8,4,0,,,,, 
org::apache::lucene::analysis::StopAnalyzer ,6,2,1,5,3,0,2,0,17,3,15,1,0,0,3,12,4,0,,,,, 
org::apache::lucene::analysis::PerFieldAnalyzerWrapper ,3,2,2,1,15,0,2,0,30,6,15,2,0,0,6,13,9,0,,,,, 
org::apache::lucene::index::IndexReader ,153,1,138,16,1225,6,5,0,214,50,9,3,1,0,39,124,48,3,,,,, 
org::apache::lucene::wordnet::SynLookup ,9,1,0,9,1,0,0,0,78,2,9,0,0,0,2,43,13,0,,,,, 
org::apache::lucene::queryParser::surround::parser::QueryParserTokenManager ,4,1,1,3,190,0,19,26,604,20,9,2,14,7,5,103,217,0,,,,, 
org::apache::lucene::analysis::ngram::EdgeNGramTokenFilter ,3,3,1,2,3,0,7,1,45,3,16,4,1,0,2,17,10,1,,,,, 
org::apache::lucene::search::ExtendedFieldCacheImpl ,3,2,1,2,6,0,5,13,9,4,35,2,0,3,3,9,3,0,,,,, 
org::apache::lucene::benchmark::byTask::tasks::NewRoundTask ,3,2,0,3,3,0,0,2,10,3,39,0,0,0,2,6,3,0,,,,, 
org::apache::lucene::benchmark::byTask::stats::Points ,11,1,10,1,15,0,3,0,23,6,9,3,1,0,5,12,6,0,,,,, 
org::apache::lucene::analysis::miscellaneous::PrefixAwareTokenFilter ,5,2,2,3,36,2,4,0,63,9,13,4,0,0,9,24,15,0,,,,, 
org::apache::lucene::queryParser::Token ,0,1,0,0,6,0,8,0,13,4,9,0,0,8,4,5,4,0,,,,, 
org::apache::lucene::store::Lock ,13,1,10,3,3,9,3,0,29,3,9,0,0,1,3,12,8,1,,,,, 
org::apache::lucene::index::FreqProxTermsWriter ,14,2,0,14,45,0,3,1,229,10,16,2,1,1,2,53,43,0,,,,, 
org::apache::lucene::analysis::compound::hyphenation::Hyphen ,2,1,0,2,1,0,3,0,19,2,18,0,0,3,1,7,6,0,,,,, 
org::apache::lucene::index::InvertedDocConsumerPerThread ,2,1,2,0,6,1,0,0,0,4,9,0,0,0,0,4,0,0,,,,, 
org::apache::lucene::analysis::Analyzer ,50,1,50,0,15,33,1,0,12,6,9,1,0,0,4,9,4,1,,,,, 
org::apache::lucene::xmlparser::builders::LikeThisQueryBuilder ,12,1,1,11,1,0,5,0,58,2,10,1,0,4,2,29,10,0,,,,, 
org::apache::lucene::xmlparser::builders::RangeFilterBuilder ,3,1,1,2,1,0,0,0,10,2,10,0,0,0,2,6,1,0,,,,, 
org::tartarus::snowball::ext::LovinsStemmer ,1,2,0,1,561,0,4,6,1501,34,35,4,33,0,1,137,262,0,,,,, 
org::apache::lucene::util::UnicodeUtil ,8,1,6,2,1,0,9,0,115,2,9,4,0,0,2,7,20,0,,,,, 
org::apache::lucene::document::NumberTools ,6,1,1,5,1,0,6,0,51,2,9,3,0,0,2,19,10,0,,,,, 
org::apache::lucene::search::ExactPhraseScorer ,5,4,2,3,1,0,0,5,28,2,27,0,0,0,0,9,7,0,,,,, 
org::apache::lucene::store::FSDirectory ,1,2,1,0,1,3,4,2,6,2,27,3,0,0,2,2,2,5,,,,, 
org::apache::lucene::ant::TextDocument ,6,1,2,4,3,0,1,0,31,3,9,1,0,0,3,19,4,0,,,,, 
org::apache::lucene::xmlparser::builders::SpanNotBuilder ,5,3,1,4,1,0,1,0,19,2,12,0,0,1,2,8,2,0,,,,, 
org::apache::lucene::store::instantiated::InstantiatedIndexReader ,16,2,5,14,276,0,4,2,174,24,58,4,0,0,19,123,64,1,,,,, 
org::tartarus::snowball::ext::PortugueseStemmer ,1,2,0,1,66,0,13,6,866,12,35,13,11,0,1,92,155,0,,,,, 
org::apache::lucene::util::CloseableThreadLocal ,5,1,4,1,6,1,2,0,43,4,9,2,0,0,3,18,8,0,,,,, 
org::apache::lucene::index::FormatPostingsTermsWriter ,4,2,1,3,10,0,8,1,30,5,11,0,0,8,0,11,6,0,,,,, 
org::apache::lucene::index::MergeScheduler ,1,1,1,0,1,3,0,0,0,2,9,0,0,0,0,2,0,0,,,,, 
org::apache::lucene::index::TermInfo ,2,1,2,0,1,0,4,0,12,2,9,0,0,4,0,2,2,0,,,,, 
org::apache::lucene::search::ComplexExplanation ,12,2,10,2,10,0,1,0,20,5,29,1,0,0,4,14,8,0,,,,, 
org::apache::lucene::search::DocIdSetIterator ,26,1,26,0,6,4,0,0,0,4,9,0,0,0,4,4,0,0,,,,, 
org::apache::lucene::store::db::DbDirectory ,9,2,1,8,91,0,5,2,102,14,27,0,0,0,14,63,21,0,,,,, 
org::apache::lucene::search::CheckHits ,20,1,12,10,45,0,1,0,214,10,9,0,0,1,10,105,46,0,,,,, 
org::apache::lucene::index::Term ,74,1,72,2,45,0,2,0,37,10,18,0,1,2,7,18,16,0,,,,, 
org::apache::lucene::demo::SearchFiles ,12,1,0,12,6,0,0,0,206,4,9,0,1,0,3,78,47,0,,,,, 
org::apache::lucene::demo::html::ParseException ,4,1,1,3,3,0,5,0,87,3,27,0,0,3,2,28,24,0,,,,, 
