classname , cbo , dit , fanIn , fanOut , lcom , noc , numberOfAttributes , numberOfAttributesInherited , numberOfLinesOfCode , numberOfMethods , numberOfMethodsInherited , numberOfPrivateAttributes , numberOfPrivateMethods , numberOfPublicAttributes , numberOfPublicMethods , rfc , wmc , bugs ,,,,, 
org::eclipse::mylyn::internal::trac::core::util::TracUtil ,16,1,11,5,15,0,0,0,42,6,9,0,1,0,5,18,8,0,,,,, 
org::eclipse::mylyn::internal::sandbox::bridge::bugs::ProgressQueryHitCollector ,7,1,2,5,36,0,11,0,60,9,0,6,0,0,8,29,14,0,,,,, 
org::eclipse::mylyn::internal::jira::core::model::filter::DateRangeFilter ,6,2,6,0,6,0,3,0,13,4,19,3,0,0,3,5,4,0,,,,, 
org::eclipse::mylyn::internal::wikitext::textile::core::phrase::EscapeTextilePhraseModifier ,2,2,1,1,6,0,0,0,12,4,22,0,0,0,1,6,3,0,,,,, 
org::eclipse::mylyn::internal::java::ui::search::JavaImplementorsProvider ,1,4,1,0,6,0,2,8,12,4,47,0,0,0,2,4,5,0,,,,, 
org::eclipse::mylyn::internal::jira::core::wsdl::beans::RemoteVersion ,4,3,0,4,91,0,7,0,78,14,52,7,0,0,14,33,33,0,,,,, 
org::eclipse::mylyn::tasklist::tests::Person ,2,1,1,1,105,0,7,0,57,15,9,7,0,0,15,17,21,0,,,,, 
org::eclipse::mylyn::internal::bugzilla::ui::actions::ViewFavoriteAction ,4,2,2,3,1,0,1,0,16,2,2,1,0,0,2,8,3,0,,,,, 
org::eclipse::mylyn::internal::tasks::ui::actions::SynchronizeSelectedAction ,10,1,0,10,3,0,3,0,95,3,0,3,1,0,2,56,20,0,,,,, 
org::eclipse::mylyn::internal::jira::core::model::Subtask ,3,1,3,0,3,0,3,0,10,3,18,3,0,0,3,3,3,0,,,,, 
org::eclipse::mylyn::internal::tasks::core::TaskComment ,7,1,5,2,120,0,8,0,53,16,24,8,0,0,16,19,16,0,,,,, 
org::eclipse::mylyn::internal::tasks::core::TaskDataStorageManager ,5,1,0,5,153,0,3,0,211,18,9,3,3,0,15,90,57,0,,,,, 
org::eclipse::mylyn::internal::hypertext::ui::editors::WebResourceContentProvider ,3,1,2,1,28,0,0,0,56,8,9,0,0,0,8,23,15,0,,,,, 
org::eclipse::mylyn::internal::team::ccvs::CvsActiveChangeSetProvider ,1,2,0,1,1,0,0,0,6,2,11,0,0,0,2,5,2,0,,,,, 
org::eclipse::mylyn::internal::monitor::ui::ShellLifecycleListener ,2,1,1,1,15,0,1,0,40,6,9,1,0,0,6,15,8,0,,,,, 
org::eclipse::mylyn::internal::bugzilla::core::MultiBugReportFactory ,7,2,1,6,1,0,0,1,26,2,11,0,0,0,2,17,6,0,,,,, 
org::eclipse::mylyn::internal::sandbox::ui::commands::ContextCapturePauseHandler ,4,1,1,3,21,0,1,0,38,7,0,1,1,0,6,32,10,0,,,,, 
org::eclipse::mylyn::internal::tasks::ui::editors::RepositoryTaskOutlinePage ,8,1,2,6,6,0,4,0,81,4,0,3,0,0,4,16,8,0,,,,, 
org::eclipse::mylyn::ide::ui::AbstractFocusMarkerViewAction ,7,2,1,6,6,5,1,8,50,4,25,1,0,0,3,23,14,0,,,,, 
org::eclipse::mylyn::wikitext::core::parser::markup::token::EntityReferenceReplacementToken ,5,3,4,1,0,0,0,0,3,1,26,0,0,0,1,2,1,0,,,,, 
org::eclipse::mylyn::internal::tasks::ui::editors::TaskListChangeAdapter ,1,1,1,0,1,1,0,0,2,2,10,0,0,0,2,2,1,0,,,,, 
org::eclipse::mylyn::internal::wikitext::tasks::ui::WikiTextContextStructureBridge ,13,2,1,12,120,0,2,1,214,16,23,1,4,0,11,91,53,0,,,,, 
org::eclipse::mylyn::internal::wikitext::ui::util::css::CssParser ,20,1,6,14,28,0,8,0,115,8,9,7,4,0,4,64,30,0,,,,, 
org::eclipse::mylyn::internal::tasks::ui::views::TaskRepositoryLabelProvider ,11,1,6,5,28,0,0,0,57,8,9,0,0,0,8,23,15,0,,,,, 
org::eclipse::mylyn::internal::bugzilla::core::BugzillaFlagMapper ,11,1,3,9,91,0,6,0,83,14,9,6,0,0,14,59,18,0,,,,, 
org::eclipse::mylyn::internal::bugzilla::ui::editor::BugzillaPeoplePart ,8,2,0,8,6,0,1,1,84,4,19,1,1,0,2,53,16,0,,,,, 
org::eclipse::mylyn::internal::tasks::bugs::TasksBugsPlugin ,2,1,1,1,10,0,3,0,19,5,0,2,0,0,5,8,6,0,,,,, 
org::eclipse::mylyn::internal::xplanner::ui::wizard::XPlannerTaskMapping ,1,2,1,0,1,0,1,0,6,2,54,1,0,0,2,2,2,0,,,,, 
org::eclipse::mylyn::tasks::tests::connector::MockTask ,4,4,3,1,15,0,1,2,23,6,170,1,0,0,6,8,7,0,,,,, 
org::eclipse::mylyn::internal::commons::ui::NotificationPopupColors ,1,1,1,0,105,0,6,0,122,15,9,6,10,0,5,45,23,0,,,,, 
org::eclipse::mylyn::internal::jira::core::service::web::rss::JiraRssSessionCallback ,6,2,1,5,15,4,3,0,91,6,14,3,3,0,2,36,16,1,,,,, 
org::eclipse::mylyn::zest::tests::swt::LayoutExample ,2,1,0,2,0,0,0,0,48,1,9,0,0,0,1,12,5,0,,,,, 
org::xplanner::soap::XPlanner::XPlannerHttpSender ,4,1,0,4,1,0,3,0,14,2,0,0,0,0,1,9,2,0,,,,, 
org::eclipse::mylyn::internal::pde::ui::Messages ,0,1,0,0,0,0,3,0,3,1,0,1,0,2,1,2,1,0,,,,, 
org::eclipse::mylyn::internal::bugzilla::ui::search::BugzillaSeveritySearchSorter ,2,1,0,2,1,0,0,0,36,2,0,0,0,0,2,10,5,0,,,,, 
org::eclipse::mylyn::internal::sandbox::ui::planner::TaskActivityLabelProvider ,12,2,1,11,15,0,5,0,115,6,6,5,0,0,6,40,30,0,,,,, 
org::eclipse::mylyn::internal::tasks::core::sync::SynchronizeRepositoriesJob ,12,2,1,11,21,0,6,0,109,7,3,6,2,0,5,52,16,0,,,,, 
org::eclipse::mylyn::internal::wikitext::ui::util::OutlineItemAdapterFactory ,1,1,0,1,1,0,1,0,9,2,18,1,0,0,2,3,4,0,,,,, 
org::eclipse::mylyn::internal::wikitext::ui::util::css::editor::CssScanner ,3,1,1,2,0,0,0,0,6,1,0,0,0,0,1,8,1,0,,,,, 
org::eclipse::mylyn::internal::wikitext::textile::core::token::FootnoteReferenceReplacementToken ,2,2,1,1,6,0,0,0,9,4,22,0,0,0,1,5,3,0,,,,, 
org::eclipse::mylyn::internal::xplanner::ui::XPlannerClientFacade ,29,1,9,22,105,0,2,0,146,15,13,2,2,0,13,84,28,1,,,,, 
org::eclipse::mylyn::internal::tasks::ui::dialogs::UiLegendControl ,11,1,1,10,136,0,5,0,483,17,0,5,14,0,3,98,32,0,,,,, 
org::eclipse::mylyn::internal::tasks::bugs::TaskContributorManager ,8,1,1,7,28,0,6,0,89,8,9,6,2,0,6,34,13,0,,,,, 
org::eclipse::mylyn::wikitext::confluence::core::Main ,2,2,0,2,3,0,0,0,12,3,12,0,0,0,2,7,2,0,,,,, 
org::eclipse::mylyn::internal::tasks::core::sync::Messages ,0,1,0,0,0,0,22,0,3,1,0,1,0,21,1,2,1,0,,,,, 
org::eclipse::mylyn::internal::trac::core::TracWikiHandler ,9,2,0,9,21,0,1,0,69,7,14,1,1,0,6,46,9,0,,,,, 
org::eclipse::mylyn::internal::bugzilla::core::SaxConfigurationContentHandler ,7,1,0,7,15,0,83,0,373,6,51,83,1,0,5,185,139,1,,,,, 
org::eclipse::mylyn::internal::team::ccvs::CvsCommitWorkflowProvider ,1,2,0,1,1,0,1,0,26,2,11,1,0,0,2,11,6,0,,,,, 
org::eclipse::mylyn::examples::monitor::study::SubmitFeedbackPage ,15,1,8,7,105,0,16,0,313,15,0,16,2,0,13,56,33,0,,,,, 
org::eclipse::mylyn::internal::sandbox::bridge::bugs::BugzillaMylynSearchJob ,6,1,1,5,1,0,1,0,57,2,0,1,0,0,1,22,2,0,,,,, 
org::eclipse::mylyn::context::core::InterestComparator ,3,1,1,2,1,0,0,0,15,2,9,0,0,0,2,4,5,0,,,,, 
org::eclipse::mylyn::internal::context::ui::ContextEditorManager ,23,2,2,22,91,0,9,0,303,14,17,9,5,0,9,150,60,1,,,,, 
org::eclipse::mylyn::internal::tasks::ui::TaskHyperlink ,5,2,3,2,3,0,1,1,27,3,6,1,0,0,3,16,5,0,,,,, 
org::eclipse::mylyn::internal::wikitext::confluence::core::phrase::SimplePhraseModifier ,1,3,1,0,0,0,0,1,3,1,28,0,0,0,1,1,1,0,,,,, 
org::eclipse::mylyn::internal::sandbox::ui::planner::TaskActivityContentProvider ,3,1,1,2,36,0,1,0,46,9,11,1,0,0,9,22,10,0,,,,, 
org::eclipse::mylyn::internal::monitor::ui::CheckActivityJob ,6,1,3,3,21,1,6,0,72,7,0,4,0,0,5,18,18,0,,,,, 
org::eclipse::mylyn::tasks::ui::TaskHyperlinkPresenter ,6,1,0,6,28,0,4,0,89,8,0,4,1,0,7,44,32,1,,,,, 
org::eclipse::mylyn::internal::trac::core::TracClientFactory ,8,1,4,4,1,0,0,0,27,2,9,0,0,0,2,12,4,0,,,,, 
org::eclipse::mylyn::internal::tasks::ui::ChangeActivityHandleOperation ,8,2,0,8,3,0,2,1,33,3,13,2,1,0,1,27,8,0,,,,, 
org::eclipse::mylyn::internal::tasks::core::AbstractTask ,120,3,110,10,2485,4,28,0,294,71,101,26,2,0,67,124,92,0,,,,, 
org::eclipse::mylyn::internal::xplanner::ui::wizard::NewXPlannerTaskPage ,11,1,3,8,15,0,5,0,138,6,0,5,1,0,5,33,10,2,,,,, 
org::eclipse::mylyn::internal::wikitext::ui::viewer::TextHover ,1,1,1,0,6,0,1,0,58,4,0,1,0,0,3,13,11,0,,,,, 
org::eclipse::mylyn::internal::tasks::ui::TaskListSynchronizationScheduler ,5,1,3,2,15,0,3,0,46,6,9,3,2,0,4,18,7,0,,,,, 
org::eclipse::mylyn::internal::wikitext::ui::viewer::ImageManager ,13,1,3,12,105,0,11,0,313,15,9,11,5,0,8,119,69,1,,,,, 
org::eclipse::mylyn::internal::bugzilla::ui::editor::BugSubmissionHandler ,4,1,0,4,6,0,2,0,122,4,9,2,2,0,2,31,8,0,,,,, 
org::eclipse::mylyn::internal::trac::ui::WebHyperlink ,3,1,2,1,15,0,2,0,19,6,9,2,0,0,6,8,6,0,,,,, 
org::eclipse::mylyn::internal::tasks::ui::notifications::TaskListNotificationReminder ,5,3,1,4,3,0,0,2,19,3,42,0,0,0,3,7,7,0,,,,, 
org::eclipse::mylyn::wikitext::core::util::Messages ,2,1,1,1,1,0,2,0,9,2,9,2,1,0,1,3,2,0,,,,, 
org::eclipse::mylyn::tasks::ui::editors::TaskEditor ,34,1,13,23,703,0,10,0,464,38,0,9,7,0,23,206,89,8,,,,, 
org::eclipse::mylyn::internal::tasks::core::TaskExternalizationException ,0,1,0,0,0,0,1,0,3,1,25,1,0,0,1,1,1,0,,,,, 
org::eclipse::mylyn::monitor::core::AbstractMonitorLog ,8,1,4,4,10,1,3,0,56,5,9,0,0,0,5,26,11,0,,,,, 
org::eclipse::mylyn::internal::provisional::commons::ui::CommonThemes ,1,1,0,1,0,0,11,0,11,1,9,0,0,0,1,2,10,0,,,,, 
org::eclipse::mylyn::internal::tasks::ui::actions::AbstractTaskAction ,2,1,0,2,3,0,1,0,24,3,0,0,0,0,1,8,6,0,,,,, 
org::eclipse::mylyn::internal::trac::wiki::TracWikiPageHistoryPageSource ,1,1,0,1,1,0,0,0,9,2,0,0,0,0,2,3,3,0,,,,, 
org::eclipse::mylyn::wikitext::core::parser::outline::OutlineParser ,13,1,8,6,45,2,2,0,49,10,9,2,0,0,8,30,14,0,,,,, 
org::eclipse::mylyn::internal::wikitext::twiki::core::block::ListBlock ,11,3,1,10,36,0,5,4,137,9,43,3,5,0,4,70,33,0,,,,, 
org::eclipse::mylyn::internal::context::ui::HighlighterImageDescriptor ,3,1,2,1,36,0,2,0,157,9,0,1,0,0,6,25,48,0,,,,, 
org::eclipse::mylyn::internal::tasks::ui::actions::TaskSelectionDialog ,19,1,7,15,190,0,22,0,257,20,0,22,1,0,9,77,33,0,,,,, 
org::eclipse::mylyn::internal::jira::core::wsdl::beans::RemoteSecurityLevel ,2,3,0,2,28,0,4,0,49,8,52,4,0,0,8,17,18,0,,,,, 
org::eclipse::mylyn::internal::tasks::ui::actions::NewQueryAction ,11,1,1,10,10,0,3,0,58,5,0,3,0,0,5,30,14,0,,,,, 
org::eclipse::mylyn::internal::jira::core::JiraTaskDataHandler ,65,2,5,62,780,0,12,0,1090,40,17,12,24,0,16,851,222,0,,,,, 
org::eclipse::mylyn::internal::trac::ui::TracImages ,2,1,0,2,1,0,4,0,19,2,9,1,2,0,0,11,4,0,,,,, 
org::eclipse::mylyn::internal::tasks::core::LocalTask ,22,4,22,0,21,0,1,2,21,7,170,0,0,0,7,7,7,0,,,,, 
org::eclipse::mylyn::internal::tasks::ui::wizards::TaskDataImportWizard ,12,1,3,10,21,0,1,0,70,7,0,1,2,0,5,37,12,0,,,,, 
org::eclipse::mylyn::tasks::core::sync::SubmitJob ,10,2,4,6,28,2,1,0,47,8,2,1,0,0,4,23,9,0,,,,, 
org::eclipse::mylyn::internal::tasks::ui::OpenRepositoryTaskJob ,11,1,2,9,3,0,5,0,60,3,0,5,0,0,3,23,3,0,,,,, 
org::eclipse::mylyn::wikitext::ui::annotation::TitleAnnotation ,2,1,2,0,3,0,2,0,10,3,0,1,0,0,3,4,3,0,,,,, 
org::eclipse::mylyn::internal::context::ui::BrowseFilteredListener ,3,1,2,1,55,0,1,0,124,11,9,1,3,0,8,43,25,0,,,,, 
org::eclipse::mylyn::internal::bugzilla::core::history::Messages ,0,1,0,0,0,0,3,0,3,1,0,1,0,2,1,2,1,0,,,,, 
org::eclipse::mylyn::internal::wikitext::twiki::core::token::ImpliedEmailLinkReplacementToken ,2,2,1,1,6,0,0,0,9,4,22,0,0,0,1,5,3,0,,,,, 
org::eclipse::mylyn::internal::bugzilla::ui::editor::BugzillaCcAttributeEditor ,4,2,0,4,1,0,2,0,54,2,32,2,0,0,2,21,4,0,,,,, 
org::eclipse::mylyn::internal::sandbox::ui::hyperlinks::AbstractResourceHyperlinkExtension ,4,1,0,4,21,2,1,0,50,7,10,0,2,0,1,32,11,0,,,,, 
org::eclipse::mylyn::internal::context::core::InteractionContextRelation ,5,2,4,2,28,0,5,0,29,8,15,5,0,0,8,12,8,0,,,,, 
org::eclipse::mylyn::internal::tasks::ui::commands::NewSubTaskHandler ,2,1,0,2,0,0,0,0,17,1,0,0,0,0,1,9,4,0,,,,, 
org::eclipse::mylyn::internal::wikitext::mediawiki::core::token::HyperlinkInternalReplacementToken ,1,2,1,0,6,0,0,0,9,4,22,0,0,0,1,5,3,0,,,,, 
org::eclipse::mylyn::internal::jira::core::model::Comment ,3,1,3,0,66,0,6,0,35,12,18,6,0,0,12,12,12,0,,,,, 
org::eclipse::mylyn::internal::sandbox::ui::actions::LinkActiveSearchWithEditorAction ,2,1,1,1,21,0,4,0,38,7,0,3,0,0,7,14,8,0,,,,, 
org::eclipse::mylyn::internal::tasks::ui::dialogs::TaskListSortDialog ,3,2,1,2,1,0,0,0,12,2,7,0,0,0,1,7,2,0,,,,, 
org::eclipse::mylyn::examples::monitor::study::MylynUserStudyExamplePlugin ,4,1,0,4,10,0,3,0,27,5,0,2,0,0,5,14,5,0,,,,, 
org::eclipse::mylyn::internal::xplanner::ui::wizard::XPlannerRepositorySettingsPage ,5,4,1,4,10,0,3,25,26,5,78,3,0,0,2,10,7,1,,,,, 
org::eclipse::mylyn::zest::core::viewers::internal::GraphItemStyler ,9,1,1,8,10,0,0,0,201,5,9,0,3,0,2,79,41,0,,,,, 
org::eclipse::mylyn::internal::bugzilla::ui::editor::BugzillaKeywordAttributeEditor ,2,2,0,2,3,0,1,0,64,3,32,1,0,0,2,12,8,0,,,,, 
org::eclipse::mylyn::wikitext::core::parser::markup::Processor ,52,1,50,2,36,2,4,0,45,9,18,0,0,0,8,15,13,0,,,,, 
org::eclipse::mylyn::internal::tasks::ui::commands::TaskListToolTipHandler ,2,2,0,2,0,0,0,0,13,1,1,0,0,0,0,9,3,0,,,,, 
org::eclipse::mylyn::internal::wikitext::ui::util::HyperlinkDetectorDelegate ,1,1,1,0,15,0,6,0,45,6,9,6,0,0,6,12,14,0,,,,, 
org::eclipse::mylyn::tasks::core::data::AbstractTaskAttachmentSource ,7,1,7,0,15,4,0,0,0,6,9,0,0,0,6,6,0,0,,,,, 
org::eclipse::mylyn::internal::bugzilla::ui::wizard::WizardAttributesPage ,0,2,0,0,0,0,1,17,5,1,12,1,0,0,1,2,1,0,,,,, 
org::eclipse::mylyn::internal::wikitext::core::parser::builder::Messages ,2,1,1,1,1,0,2,0,9,2,9,2,1,0,1,3,2,0,,,,, 
org::eclipse::mylyn::context::ui::AbstractAutoFocusViewAction ,4,2,0,4,6,3,2,8,37,4,25,2,1,0,3,13,6,0,,,,, 
